Category,Count,Percentage
distribution_services,5,0.005100947756093082
amusement_park,31,0.03162587608777711
disability_services_and_support_organization,29,0.02958549698533988
women's_health_clinic,6,0.006121137307311699
restaurant_wholesale,9,0.009181705960967547
b2b_apparel,8,0.008161516409748932
boat_parts_and_accessories,7,0.0071413268585303145
drive_in_theater,5,0.005100947756093082
mortgage_lender,42,0.04284796115118189
wholesale_grocer,6,0.006121137307311699
cultural_center,20,0.020403791024372328
podiatrist,60,0.061211373073116984
atv_rentals_and_tours,1,0.0010201895512186164
anesthesiologist,1,0.0010201895512186164
polish_restaurant,6,0.006121137307311699
career_counseling,28,0.028565307434121258
donuts,41,0.04182777159996327
abuse_and_addiction_treatment,31,0.03162587608777711
ukrainian_restaurant,2,0.002040379102437233
spanish_restaurant,8,0.008161516409748932
health_spa,8,0.008161516409748932
window_washing,5,0.005100947756093082
boat_tours,15,0.015302843268279246
video_film_production,14,0.014282653717060629
urban_farm,5,0.005100947756093082
water_park,6,0.006121137307311699
logging_services,2,0.002040379102437233
cosmetic_dentist,78,0.07957478499505208
haunted_house,1,0.0010201895512186164
psychologist,99,0.10099876557064302
appraisal_services,24,0.024484549229246796
french_restaurant,52,0.053049856663368054
cocktail_bar,96,0.09793819691698719
mountain_bike_trails,9,0.009181705960967547
session_photography,23,0.02346435967802818
health_food_restaurant,26,0.026524928331684027
temp_agency,5,0.005100947756093082
structural_engineer,5,0.005100947756093082
human_resource_services,13,0.013262464165842014
architect,23,0.02346435967802818
surgical_appliances_and_supplies,24,0.024484549229246796
chimney_sweep,5,0.005100947756093082
costume_museum,1,0.0010201895512186164
eyelash_service,5,0.005100947756093082
security_systems,19,0.01938360147315371
audiologist,50,0.05100947756093082
obstetrician_and_gynecologist,9,0.009181705960967547
builders,18,0.018363411921935094
occupational_therapy,7,0.0071413268585303145
estate_planning_law,7,0.0071413268585303145
business_brokers,11,0.011222085063404781
massage_school,7,0.0071413268585303145
public_health_clinic,2,0.002040379102437233
sunglasses_store,26,0.026524928331684027
e_commerce_service,24,0.024484549229246796
gutter_service,5,0.005100947756093082
jamaican_restaurant,40,0.040807582048744656
business_law,20,0.020403791024372328
surgeon,7,0.0071413268585303145
computer_coaching,28,0.028565307434121258
translation_services,7,0.0071413268585303145
prosthetics,12,0.012242274614623398
tapas_bar,13,0.013262464165842014
scooter_dealers,1,0.0010201895512186164
preschool,49,0.04998928800971221
pediatrician,12,0.012242274614623398
shoe_repair,22,0.022444170126809562
musician,4,0.004080758204874466
pressure_washing,3,0.0030605686536558496
gastropub,23,0.02346435967802818
south_african_restaurant,3,0.0030605686536558496
water_heater_installation_repair,2,0.002040379102437233
image_consultant,7,0.0071413268585303145
home_organization,7,0.0071413268585303145
promotional_products_and_services,5,0.005100947756093082
altering_and_remodeling_contractor,5,0.005100947756093082
buddhist_temple,31,0.03162587608777711
educational_camp,25,0.02550473878046541
landscape_architect,5,0.005100947756093082
eye_care_clinic,18,0.018363411921935094
private_tutor,8,0.008161516409748932
furniture_manufacturers,5,0.005100947756093082
evangelical_church,15,0.015302843268279246
social_media_agency,32,0.032646065638995726
after_school_program,6,0.006121137307311699
framing_store,7,0.0071413268585303145
drama_school,5,0.005100947756093082
venezuelan_restaurant,4,0.004080758204874466
homeopathic_medicine,5,0.005100947756093082
walk_in_clinic,12,0.012242274614623398
patisserie_cake_shop,6,0.006121137307311699
cards_and_stationery_store,12,0.012242274614623398
child_psychiatrist,2,0.002040379102437233
money_transfer_services,3,0.0030605686536558496
life_insurance,9,0.009181705960967547
waxing,22,0.022444170126809562
debt_relief_services,7,0.0071413268585303145
blow_dry_blow_out_service,4,0.004080758204874466
choir,8,0.008161516409748932
newspaper_and_magazines_store,16,0.016323032819497863
dog_park,29,0.02958549698533988
monument,26,0.026524928331684027
holiday_rental_home,25,0.02550473878046541
montessori_school,5,0.005100947756093082
aquatic_pet_store,15,0.015302843268279246
tv_mounting,4,0.004080758204874466
calligraphy,1,0.0010201895512186164
automation_services,24,0.024484549229246796
blood_and_plasma_donation_center,6,0.006121137307311699
tattoo,7,0.0071413268585303145
condominium,12,0.012242274614623398
business_storage_and_transportation,2,0.002040379102437233
colonics,1,0.0010201895512186164
theatrical_productions,11,0.011222085063404781
fertility,19,0.01938360147315371
deck_and_railing_sales_service,7,0.0071413268585303145
